,strength_defence_home,team_division,position,strength,strength_overall_home,strength_attack_home,current_event_fixture,played,strength_attack_away,unavailable,win,next_event_fixture,draw,id,strength_overall_away,strength_defence_away,code,name,loss,form,short_name,points,link_url
0,1310,1,0,4,1260,1240,"[{'opponent': 4, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': False, 'id': 372}]",0,1270,False,0,[],0,1,1320,1340,3,Arsenal,0,,ARS,0,
1,1120,1,0,3,1030,1040,"[{'opponent': 7, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': False, 'id': 373}]",0,1100,False,0,[],0,2,1130,1130,91,Bournemouth,0,,BOU,0,
2,1010,1,0,2,1030,1040,"[{'opponent': 13, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': True, 'id': 371}]",0,1140,False,0,[],0,3,1050,1070,36,Brighton,0,,BHA,0,
3,1000,1,0,3,1070,990,"[{'opponent': 1, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': True, 'id': 372}]",0,1030,False,0,[],0,4,1100,1040,90,Burnley,0,,BUR,0,
4,1020,1,0,2,1030,1030,"[{'opponent': 14, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': False, 'id': 377}]",0,1060,False,0,[],0,5,1080,1090,97,Cardiff,0,,CAR,0,
5,1320,1,0,4,1260,1270,"[{'opponent': 11, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': False, 'id': 375}]",0,1340,False,0,[],0,6,1310,1330,8,Chelsea,0,,CHE,0,
6,1030,1,0,2,1060,1030,"[{'opponent': 2, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': True, 'id': 373}]",0,1180,False,0,[],0,7,1080,1050,31,Crystal Palace,0,,CRY,0,
7,1140,1,0,3,1090,1070,"[{'opponent': 17, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': False, 'id': 379}]",0,1120,False,0,[],0,8,1110,1230,11,Everton,0,,EVE,0,
8,1000,1,0,2,1000,1000,"[{'opponent': 15, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': True, 'id': 374}]",0,1030,False,0,[],0,9,1040,1080,54,Fulham,0,,FUL,0,
9,990,1,0,2,1010,1030,"[{'opponent': 16, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': False, 'id': 378}]",0,1060,False,0,[],0,10,1020,1010,38,Huddersfield,0,,HUD,0,
10,1080,1,0,3,1110,1130,"[{'opponent': 6, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': True, 'id': 375}]",0,1180,False,0,[],0,11,1110,1140,13,Leicester,0,,LEI,0,
11,1330,1,0,5,1330,1330,"[{'opponent': 20, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': True, 'id': 376}]",0,1360,False,0,[],0,12,1350,1340,14,Liverpool,0,,LIV,0,
12,1340,1,0,5,1320,1320,"[{'opponent': 3, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': False, 'id': 371}]",0,1330,False,0,[],0,13,1350,1360,43,Man City,0,,MCI,0,
13,1310,1,0,4,1310,1250,"[{'opponent': 5, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': True, 'id': 377}]",0,1260,False,0,[],0,14,1330,1340,1,Man Utd,0,,MUN,0,
14,1030,1,0,3,1070,1070,"[{'opponent': 9, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': False, 'id': 374}]",0,1110,False,0,[],0,15,1120,1050,4,Newcastle,0,,NEW,0,
15,1100,1,0,2,1050,1040,"[{'opponent': 10, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': True, 'id': 378}]",0,1070,False,0,[],0,16,1060,1100,20,Southampton,0,,SOU,0,
16,1320,1,0,5,1330,1270,"[{'opponent': 8, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': True, 'id': 379}]",0,1340,False,0,[],0,17,1330,1340,6,Spurs,0,,TOT,0,
17,1130,1,0,3,1100,1100,"[{'opponent': 19, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': True, 'id': 380}]",0,1100,False,0,[],0,18,1110,1150,57,Watford,0,,WAT,0,
18,1120,1,0,3,1100,1090,"[{'opponent': 18, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': False, 'id': 380}]",0,1100,False,0,[],0,19,1150,1150,21,West Ham,0,,WHU,0,
19,1080,1,0,3,1130,1180,"[{'opponent': 12, 'event_day': 1, 'month': 5, 'day': 12, 'is_home': False, 'id': 376}]",0,1200,False,0,[],0,20,1150,1100,39,Wolves,0,,WOL,0,
